mes,morena,mc,pri,pan,pvem,pt,otros,no_decide
2025-01,39.2,25.4,6.2,3.9,2.6,3.1,4.4,15.2
2025-02,38.6,24.2,5.4,2.6,2.8,3.6,5.1,17.7
2025-03,37.4,25.1,5.1,3.1,2.4,2.8,4.7,19.4
2025-04,36.5,26.9,3.9,2.8,3.1,3.4,5.3,18.1
2025-05,37.1,28.7,4.8,2.1,2.2,2.9,4.6,17.6
2025-06,38.3,27.1,5.1,2.5,2.4,3.3,4.8,16.5
2025-07,37.9,26.8,5.7,2.8,3.5,3.6,4.3,15.4
2025-08,38.7,25.3,4.9,3.6,4.1,2.5,4.6,16.3
2025-09,38.2,26.4,3.3,2.3,3.9,2.1,5.6,18.2
2025-10,36.3,29.4,2.5,1.9,2.7,1.7,4.8,20.7
2025-11,37.1,30.5,3.8,1.4,2.2,2.1,5.3,17.6
2025-12,40.2,30.3,4.3,2.8,3.5,2.9,4.3,11.7
2026-01,39.7,28.6,3.6,3.1,2.9,2.4,4.8,14.9
2026-02,38.5,28.9,4.1,4.6,3.7,3.3,5.2,11.7
2026-03,39.1,28.6,5.3,5.1,4.6,3.9,4.3,9.1
2026-04,37.9,29.5,6.1,3.7,2.9,2.7,5.6,11.6
2026-05,35.2,27.5,5.3,3.3,2.6,3.1,4.8,18.2
2026-06,34.2,28.6,4.4,3.9,3.2,2.8,5.2,17.7
2026-07,35.7,30.1,5.6,5.8,4.2,3.4,6.3,8.9
